--------- beginning of events
12-15 10:38:22.610   251   251 I auditd  : type=1403 audit(0.0:2): policy loaded auid=4294967295 ses=4294967295
--------- beginning of system
12-15 10:38:28.884   254   254 I vold    : Vold 3.0 (the awakening) firing up
12-15 10:38:28.885   254   254 V vold    : Detected support for: exfat ext4 ntfs vfat
12-15 10:38:28.890   254   254 W Vold    : Tearing down stale mount /storage/usbotg
12-15 10:38:28.890   254   254 W Vold    : Tearing down stale mount /mnt/media_rw
12-15 10:38:29.201   254   264 V vold    : /system/bin/sgdisk
12-15 10:38:29.201   254   264 V vold    :     --android-dump
12-15 10:38:29.201   254   264 V vold    :     /dev/block/vold/disk:179_128
12-15 10:38:29.205   254   266 D vold    : e4crypt_init_user0
12-15 10:38:29.206   254   266 D vold    : e4crypt_prepare_user_storage for volume null, user 0, serial 0, flags 1
12-15 10:38:29.206   254   266 D vold    : Preparing: /data/system/users/0
12-15 10:38:29.208   254   266 D vold    : Preparing: /data/misc/profiles/cur/0
12-15 10:38:29.209   254   266 D vold    : Preparing: /data/misc/profiles/cur/0/foreign-dex
12-15 10:38:29.210   254   266 D vold    : Preparing: /data/system_de/0
12-15 10:38:29.210   254   266 D vold    : Preparing: /data/misc_de/0
12-15 10:38:29.211   254   266 D vold    : Preparing: /data/user_de/0
12-15 10:38:29.213   254   266 D vold    : e4crypt_unlock_user_key 0 serial=0 token_present=0
12-15 10:38:29.526   254   264 V vold    : DISK gpt CBC83FD9-4235-4453-8D69-6B98D2518C8B
12-15 10:38:29.526   254   264 V vold    : 
12-15 10:38:29.527   254   264 V vold    : PART 1 EBD0A0A2-B9E5-4433-87C0-68B6B72699C7 6364D990-56C9-45B7-991C-554740580B3D Microsoft basic data
12-15 10:38:29.527   254   264 V vold    : 
12-15 10:38:30.160   256   256 I auditd  : type=1400 audit(0.0:3): avc: denied { read write } for comm="logd.daemon" name="mmcblk0p6" dev="tmpfs" ino=325 scontext=u:r:logd:s0 tcontext=u:object_r:block_device:s0 tclass=blk_file permissive=1
12-15 10:38:30.160   256   256 I auditd  : type=1400 audit(0.0:4): avc: denied { open } for comm="logd.daemon" path="/dev/block/mmcblk0p6" dev="tmpfs" ino=325 scontext=u:r:logd:s0 tcontext=u:object_r:block_device:s0 tclass=blk_file permissive=1
12-15 10:38:31.000   281   281 I auditd  : type=1400 audit(0.0:5): avc: denied { write } for comm="surfaceflinger" name="trace_marker" dev="debugfs" ino=1051 scontext=u:r:surfaceflinger:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:31.000   281   281 I auditd  : type=1400 audit(0.0:6): avc: denied { open } for comm="surfaceflinger" path="/sys/kernel/debug/tracing/trace_marker" dev="debugfs" ino=1051 scontext=u:r:surfaceflinger:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:32.220   295   295 I auditd  : type=1400 audit(0.0:7): avc: denied { write } for comm="cameraserver" name="trace_marker" dev="debugfs" ino=1051 scontext=u:r:cameraserver:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:32.220   295   295 I auditd  : type=1400 audit(0.0:8): avc: denied { open } for comm="cameraserver" path="/sys/kernel/debug/tracing/trace_marker" dev="debugfs" ino=1051 scontext=u:r:cameraserver:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:32.280   403   403 I auditd  : type=1400 audit(0.0:9): avc: denied { read } for comm="nvram_daemon" name="boot_mode" dev="sysfs" ino=117 scontext=u:r:nvram_daemon:s0 tcontext=u:object_r:sysfs:s0 tclass=file permissive=1
12-15 10:38:32.280   403   403 I auditd  : type=1400 audit(0.0:10): avc: denied { open } for comm="nvram_daemon" path="/sys/devices/virtual/BOOT/BOOT/boot/boot_mode" dev="sysfs" ino=117 scontext=u:r:nvram_daemon:s0 tcontext=u:object_r:sysfs:s0 tclass=file permissive=1
12-15 10:38:32.625   294   294 I liblog  : 196
12-15 10:38:32.716   294   415 I liblog  : 115
12-15 10:38:33.070   293   293 I boot_progress_start: 12853
12-15 10:38:33.090   293   293 I auditd  : type=1400 audit(0.0:11): avc: denied { write } for comm="zygote" name="trace_marker" dev="debugfs" ino=1051 scontext=u:r:zygote:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:33.090   293   293 I auditd  : type=1400 audit(0.0:12): avc: denied { open } for comm="zygote" path="/sys/kernel/debug/tracing/trace_marker" dev="debugfs" ino=1051 scontext=u:r:zygote:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:33.180   425   425 I auditd  : type=1400 audit(0.0:13): avc: denied { write } for comm="AudioOut_D" name="trace_marker" dev="debugfs" ino=1051 scontext=u:r:audioserver:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:33.180   425   425 I auditd  : type=1400 audit(0.0:14): avc: denied { open } for comm="AudioOut_D" path="/sys/kernel/debug/tracing/trace_marker" dev="debugfs" ino=1051 scontext=u:r:audioserver:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:33.260   423   423 I auditd  : type=1400 audit(0.0:15): avc: denied { write } for comm="BootAnimation" name="trace_marker" dev="debugfs" ino=1051 scontext=u:r:bootanim:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:33.260   423   423 I auditd  : type=1400 audit(0.0:16): avc: denied { open } for comm="BootAnimation" path="/sys/kernel/debug/tracing/trace_marker" dev="debugfs" ino=1051 scontext=u:r:bootanim:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:33.962   293   293 I boot_progress_preload_start: 13744
12-15 10:38:36.435   293   293 I boot_progress_preload_end: 16218
12-15 10:38:36.670   293   293 I auditd  : type=1400 audit(0.0:17): avc: denied { getattr } for comm="main" path="/sys/kernel/debug/tracing/trace_marker" dev="debugfs" ino=1051 scontext=u:r:zygote:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:36.670   532   532 I auditd  : type=1400 audit(0.0:18): avc: denied { write } for comm="main" name="trace_marker" dev="debugfs" ino=1051 scontext=u:r:zygote:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:36.670   532   532 I auditd  : type=1400 audit(0.0:19): avc: denied { open } for comm="main" path="/sys/kernel/debug/tracing/trace_marker" dev="debugfs" ino=1051 scontext=u:r:zygote:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:36.699   532   532 I InstallerConnection: connecting...
12-15 10:38:36.730   532   532 I InstallerConnection: disconnecting...
12-15 10:38:36.881   532   532 I SystemServer: Entered the Android system server!
12-15 10:38:36.882   532   532 I boot_progress_system_run: 16665
12-15 10:38:37.034   532   532 I SystemServiceManager: Starting com.android.server.pm.Installer
12-15 10:38:37.041   532   532 I Installer: Waiting for installd to be ready.
12-15 10:38:37.041   532   532 I InstallerConnection: connecting...
12-15 10:38:37.042   532   532 I SystemServiceManager: Starting com.android.server.am.ActivityManagerService$Lifecycle
12-15 10:38:37.080   532   532 I ActivityManager: Memory class: 96
12-15 10:38:37.088   532   549 I ServiceThread: Enabled StrictMode logging for ActivityManager looper.
12-15 10:38:37.091   532   551 I ServiceThread: Enabled StrictMode logging for android.ui looper.
12-15 10:38:37.120   532   532 D BatteryStatsImpl: Reading daily items from /data/system/batterystats-daily.xml
12-15 10:38:37.435   532   532 W ProcessCpuTracker: Skipping unknown process pid 554
12-15 10:38:37.449   532   532 I IntentFirewall: Read new rules (A:0 B:0 S:0)
12-15 10:38:37.461   532   559 I ServiceThread: Enabled StrictMode logging for android.display looper.
12-15 10:38:37.472   532   532 D AppOps  : AppOpsService published
12-15 10:38:37.473   532   532 I SystemServiceManager: Starting com.android.server.power.PowerManagerService
12-15 10:38:37.480   532   562 I ServiceThread: Enabled StrictMode logging for PowerManagerService looper.
12-15 10:38:37.489   532   532 I SystemServiceManager: Starting com.android.server.lights.LightsService
12-15 10:38:37.496   532   532 I SystemServiceManager: Starting com.android.server.display.DisplayManagerService
12-15 10:38:37.505   532   532 I SystemServiceManager: Starting phase 100
12-15 10:38:37.517   532   559 I DisplayManagerService: Display device added: DisplayDeviceInfo{"Встроенный экран": uniqueId="local:0", 720 x 1280, modeId 1, defaultModeId 1, supportedModes [{id=1, width=720, height=1280, fps=55.8}], colorMode 0, supportedColorModes [0], HdrCapabilities android.view.Display$HdrCapabilities@a69d6308, density 320, 320.0 x 320.0 dpi, appVsyncOff 1000000, presDeadline 17921147, touch INTERNAL, rotation 0, type BUILT_IN, state UNKNOWN, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
12-15 10:38:37.519   532   559 I DisplayManagerService: Display device changed state: "Встроенный экран", ON
12-15 10:38:37.519   532   532 I SystemServer: StartPackageManagerService
12-15 10:38:37.554   532   532 I boot_progress_pms_start: 17337
12-15 10:38:37.736   532   532 D SELinuxMMAC: Using policy file /system/etc/security/mac_permissions.xml
12-15 10:38:38.090   532   532 I boot_progress_pms_system_scan_start: 17874
12-15 10:38:38.124   532   532 W PackageManager: Library not found: /system/framework/org.apache.http.legacy.jar
12-15 10:38:38.158   532   573 W PackageManager: Permission cyanogenmod.permission.WRITE_ALARMS from package cyanogenmod.platform in an unknown group android.permission-group.SYSTEM_CLOCK
12-15 10:38:38.158   532   573 W PackageManager: Permission cyanogenmod.permission.MANAGE_ALARMS from package cyanogenmod.platform in an unknown group android.permission-group.SYSTEM_CLOCK
12-15 10:38:38.158   532   573 W PackageManager: Permission cyanogenmod.permission.READ_ALARMS from package cyanogenmod.platform in an unknown group android.permission-group.SYSTEM_CLOCK
12-15 10:38:38.397   532   572 W PackageManager: Permission android.permission.DOWNLOAD_WITHOUT_NOTIFICATION from package com.android.providers.downloads in an unknown group android.permission-group.NETWORK
12-15 10:38:38.480   532   574 W PackageManager: Permission com.android.vending.CHECK_LICENSE from package com.android.vending in an unknown group android.permission-group.NETWORK
12-15 10:38:38.480   532   574 W PackageManager: Permission com.android.vending.BILLING from package com.android.vending in an unknown group android.permission-group.NETWORK
12-15 10:38:38.594   532   573 W PackageParser: Unknown element under <manifest>: uses-library at /system/priv-app/GoogleFeedback/GoogleFeedback.apk Binary XML file line #33
12-15 10:38:38.643   532   575 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.google.android.googlequicksearchbox at: Binary XML file line #435
12-15 10:38:38.643   532   575 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CAMERA in package: com.google.android.googlequicksearchbox at: Binary XML file line #436
12-15 10:38:38.784   532   575 W PackageManager: Permission com.google.android.launcher.permission.READ_SETTINGS from package com.google.android.googlequicksearchbox in an unknown group android.permission-group.SYSTEM_TOOLS
12-15 10:38:38.784   532   575 W PackageManager: Permission com.google.android.launcher.permission.WRITE_SETTINGS from package com.google.android.googlequicksearchbox in an unknown group android.permission-group.SYSTEM_TOOLS
12-15 10:38:38.784   532   575 W PackageManager: Permission com.android.launcher.permission.INSTALL_SHORTCUT from package com.google.android.googlequicksearchbox in an unknown group android.permission-group.SYSTEM_TOOLS
12-15 10:38:38.810   532   578 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS in package: com.android.shell at: Binary XML file line #102
